127.0.0.1 - - [23/Mar/2017:08:31:08 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:52 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/19 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:52 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:52 +0530] "GET /HIS_API/rest/Queue/getNextAssignDoctor/-1 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:55 +0530] "POST /HIS_API/rest/Queue/addPatientToQueue HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:55 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/75 HTTP/1.1" 200 9642
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:55 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/75 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:55 +0530] "GET /HIS_API/rest/HrAttandanceService/getAllAttendanceByDept/2017-03-23/5/1 HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:55 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:56 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/19 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:56 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:56 +0530] "GET /HIS_API/rest/Queue/getNextAssignDoctor/-1 HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:00 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:00 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:00 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:01 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:01 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:01 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:02 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/75 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:02 +0530] "GET /HIS_API/rest/Queue/getCurrentInPatient/1 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:03 +0530] "GET /HIS_API/rest/Queue/checkinPatient/75 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:03 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/75 HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:03 +0530] "GET /HIS_API/rest/Queue/getCurrentInPatient/1 HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:03 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/75 HTTP/1.1" 200 9642
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:03 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/75 HTTP/1.1" 200 9642
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:03 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/75 HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:04 +0530] "GET /HIS_API/rest/queue/checkin/75 HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:04 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/75 HTTP/1.1" 200 9642
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:04 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/75 HTTP/1.1" 200 9642
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:04 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/75 HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:22 +0530] "GET /HIS_API/rest/LiveSearch/injuryLivesearch HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:26 +0530] "POST /HIS_API/rest/Visit/addVisit HTTP/1.1" 200 3688
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:45 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:45 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:45 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:45 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:45 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:47 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/75 HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:47 +0530] "GET /HIS_API/rest/Queue/getCurrentInPatient/1 HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:47 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/75 HTTP/1.1" 200 11528
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:48 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/75 HTTP/1.1" 200 11528
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:48 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/75 HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:52 +0530] "GET /HIS_API/rest/Visit/getVisitsByVisitID/123 HTTP/1.1" 200 3720
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:53 +0530] "GET /HIS_API/rest/Visit/getRecentVisit/75 HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:53 +0530] "GET /HIS_API/rest/Questionnaire/getQuestionnaireByVisitType/OPD HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:53 +0530] "GET /HIS_API/rest/OPDLabOrder/getLabOrderByVisitID/123 HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:53 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/75 HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:53 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/75 HTTP/1.1" 200 11528
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:34:53 +0530] "GET /HIS_API/rest/Visit/getVisitsByVisitID/123 HTTP/1.1" 200 3720
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:35:11 +0530] "GET /HIS_API/rest/TestNames/getAllTests HTTP/1.1" 200 16085
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:35:59 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/75 HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:35:59 +0530] "GET /HIS_API/rest/Queue/getCurrentInPatient/1 HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:35:59 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/75 HTTP/1.1" 200 11528
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:35:59 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/75 HTTP/1.1" 200 11528
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:36:00 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/75 HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:36:02 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:36:02 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:36:02 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:36:02 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:36:02 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:36:07 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:36:13 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:36:22 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:36:27 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:36:32 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:36:45 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:37:03 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:37:08 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:37:19 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:37:38 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:37:44 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/6 HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:37:44 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/6 HTTP/1.1" 200 26231
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:37:44 +0530] "GET /HIS_API/rest/LabTestRequest/getTestRequestByRequestID/8 HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:37:45 +0530] "GET /HIS_API/rest/ParentTestFields/getAllParenTestFields/1 HTTP/1.1" 200 13455
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:37:45 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/6 HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:37:56 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:38:09 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:38:37 +0530] "GET /HIS_API/rest/Category/getAllCategories/ HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:38:37 +0530] "GET /HIS_API/rest/SubCategory/getAllSubCategories/ HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:38:37 +0530] "GET /HIS_API/rest/SpecimenType/getAllSpecimenTypes/ HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:38:38 +0530] "GET /HIS_API/rest/TestNames/getAllTests HTTP/1.1" 200 16085
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:39:13 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:39:14 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:39:23 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:39:24 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:39:30 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:39:31 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:39:38 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:39:38 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:39:56 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:39:57 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:40:14 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:40:14 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:40:24 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:40:25 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:40:36 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:40:36 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:40:39 +0530] "GET /HIS_API/rest/Category/getAllCategories HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:40:39 +0530] "GET /HIS_API/rest/SubCategory/getAllSubCategories HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:40:39 +0530] "GET /HIS_API/rest/TestNames/getAllTests HTTP/1.1" 200 16085
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:40:45 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:40:45 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:42:16 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:42:24 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:42:24 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:42:24 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:42:24 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:42:24 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:42:29 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:42:29 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:42:29 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:42:29 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:42:29 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:42:29 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:42:53 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:42:53 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:42:53 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:42:53 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:42:53 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:48:10 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:48:11 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:51:23 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/75 HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:51:23 +0530] "GET /HIS_API/rest/Queue/getCurrentInPatient/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:51:23 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/75 HTTP/1.1" 200 11528
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:51:23 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/75 HTTP/1.1" 200 11528
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:51:24 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/75 HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:51:33 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:51:33 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:51:33 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:51:33 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:51:33 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:51:33 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:51:34 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/75 HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:51:35 +0530] "GET /HIS_API/rest/Queue/getCurrentInPatient/1 HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:51:35 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/75 HTTP/1.1" 200 11528
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:51:35 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/75 HTTP/1.1" 200 11528
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:51:35 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/75 HTTP/1.1" 200 378
