127.0.0.1 - - [20/Feb/2017:12:21:29 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:29 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:30 +0530] "GET /HIS_API/rest/Admission/getWardAdmission HTTP/1.1" 200 86360
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:32 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:32 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:32 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:34 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:34 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:34 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:34 +0530] "GET /HIS_API/rest/Admission/getWardAdmission HTTP/1.1" 200 86360
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:35 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:35 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:35 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:35 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:35 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:35 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:35 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:37 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:37 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:37 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:39 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:39 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:39 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:39 +0530] "GET /HIS_API/rest/Admission/getWardAdmission HTTP/1.1" 200 86360
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:37:26 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:37:26 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:37:26 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:37:26 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:37:26 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:37:26 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:37:30 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/72 HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:37:30 +0530] "GET /HIS_API/rest/Queue/getCurrentInPatient/1 HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:37:30 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/72 HTTP/1.1" 200 9678
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:37:31 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/72 HTTP/1.1" 200 9678
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:37:31 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/72 HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:41:48 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:42:32 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:45:25 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:45:42 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:46:14 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:48:05 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:48:08 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:48:46 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:48:53 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:49:13 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:58:43 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:00:08 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/72 HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:00:08 +0530] "GET /HIS_API/rest/Queue/getCurrentInPatient/1 HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:00:08 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/72 HTTP/1.1" 200 9678
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:00:08 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/72 HTTP/1.1" 200 9678
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:00:08 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/72 HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:01:55 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/72 HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:01:55 +0530] "GET /HIS_API/rest/Queue/getCurrentInPatient/1 HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:01:55 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/72 HTTP/1.1" 200 9678
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:01:55 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/72 HTTP/1.1" 200 9678
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:01:55 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/72 HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:01:59 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:01:59 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:01:59 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:01:59 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:01:59 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:02:02 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/72 HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:02:02 +0530] "GET /HIS_API/rest/Queue/getCurrentInPatient/1 HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:02:02 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/72 HTTP/1.1" 200 9678
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:02:02 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/72 HTTP/1.1" 200 9678
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:02:02 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/72 HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:02:42 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:04:21 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:04:26 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:05:24 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:05:27 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:08 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/72 HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:08 +0530] "GET /HIS_API/rest/Queue/getCurrentInPatient/1 HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:08 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/72 HTTP/1.1" 200 9678
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:08 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/72 HTTP/1.1" 200 9678
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:08 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/72 HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:23 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:27 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:27 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeeByID/1 HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:27 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:27 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:27 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:28 +0530] "GET /HIS_API/rest/Admission/getWardAdmission HTTP/1.1" 200 86360
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:41 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:41 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:41 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:47 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:47 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:47 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:49 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:49 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:49 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:49 +0530] "GET /HIS_API/rest/Admission/getWardAdmission HTTP/1.1" 200 86360
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:50 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:50 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:50 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:50 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:50 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:50 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:50 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:50 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:50 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:50 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:52 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:52 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:06:52 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:07:02 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:07:02 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:07:02 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:07:02 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:07:02 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
