127.0.0.1 - - [16/Jun/2017:08:29:07 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Jun/2017:08:35:51 +0530] "GET /HIS_API/rest/DrugServices/getBatchesBydName/67 HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [16/Jun/2017:08:35:52 +0530] "POST /HIS_API/rest/DrugServices/getBatchDetailsByDrugName HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [16/Jun/2017:08:37:13 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [16/Jun/2017:08:37:17 +0530] "GET /HIS_API/rest/DrugServices/drugreport HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [16/Jun/2017:08:37:17 +0530] "GET /HIS_API/rest/DrugServices/getDrugCategories HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [16/Jun/2017:08:37:17 +0530] "GET /HIS_API/rest/DrugServices/getDrugNames HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [16/Jun/2017:08:37:17 +0530] "GET /HIS_API/rest/DrugServices/getDrugByID/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Jun/2017:08:37:21 +0530] "GET /HIS_API/rest/DrugServices/getDrugCategories HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [16/Jun/2017:08:37:21 +0530] "GET /HIS_API/rest/DrugServices/getDrugNames HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [16/Jun/2017:08:37:21 +0530] "GET /HIS_API/rest/DrugServices/getDrugByID/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Jun/2017:08:37:24 +0530] "GET /HIS_API/rest/DrugServices/getDrugNamesByCategory/Narcotics HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [16/Jun/2017:08:37:27 +0530] "GET /HIS_API/rest/DrugServices/getBatchesBydName/67 HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [16/Jun/2017:08:37:28 +0530] "POST /HIS_API/rest/DrugServices/getBatchDetailsByDrugName HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:22:34 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:22:34 +0530] "GET /HIS_API/rest/PharmacyServices/drugStockTable HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:10 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:11 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:11 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:11 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:11 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:11 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:15 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/88 HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:15 +0530] "GET /HIS_API/rest/Queue/getCurrentInPatient/1 HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:15 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/88 HTTP/1.1" 200 22807
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:15 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/88 HTTP/1.1" 200 22807
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:15 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/88 HTTP/1.1" 200 6826
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:25 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/88 HTTP/1.1" 200 22807
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:25 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/shutter.mp3 HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:34 +0530] "POST /HIS_API/rest/OutPatient/updatePatient HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:34 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/88 HTTP/1.1" 200 22809
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:34 +0530] "POST /HIS_API/rest/OutPatient/updatePatient HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:34 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/shutter.mp3 HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:35 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/88 HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:35 +0530] "GET /HIS_API/rest/Queue/getCurrentInPatient/1 HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:35 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/88 HTTP/1.1" 200 22809
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:36 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/88 HTTP/1.1" 200 22809
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:36 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/88 HTTP/1.1" 200 6830
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/Prescription/getPrescriptionsByPatientID/000088 HTTP/1.1" 200 13559
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/0 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Afrin/10 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Afrin%20Latest/24 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Amlodipine%20Besylate%20tablet%205mg/60 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Diltiazem%20tablet%2030mg/4 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/4 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/0 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/0 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Afrin%20Latest/0 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/20 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Amlodipine%20Besylate%20tablet%205mg/16 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Pethidine%20Hydrochloride%20Injection%2075mg%20Ampoule/112 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/28 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Afrin%20Latest/60 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/112 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Acitretin%20(Soriatane)%2050mg/126 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/15 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/adasd%20200ml/18 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20/10 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/adasd%20200ml/6 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Asprin/24 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:52 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/adasd%20200ml/18 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:23:56 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/000088 HTTP/1.1" 200 22809
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:26:21 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/000088 HTTP/1.1" 200 22809
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:00 +0530] "GET /HIS_API/rest/PharmacyServices/drugStockTable HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/Prescription/getPrescriptionsByPatientID/000088 HTTP/1.1" 200 13559
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/0 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Afrin/10 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Afrin%20Latest/24 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Amlodipine%20Besylate%20tablet%205mg/60 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Diltiazem%20tablet%2030mg/4 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/4 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Afrin%20Latest/0 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Amlodipine%20Besylate%20tablet%205mg/16 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/0 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/20 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/0 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Pethidine%20Hydrochloride%20Injection%2075mg%20Ampoule/112 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Afrin%20Latest/60 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/28 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/112 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Acitretin%20(Soriatane)%2050mg/126 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/15 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/adasd%20200ml/18 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20/10 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/adasd%20200ml/6 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Asprin/24 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/adasd%20200ml/18 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:27:10 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/000088 HTTP/1.1" 200 22809
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:04 +0530] "GET /HIS_API/rest/PharmacyServices/drugStockTable HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:06 +0530] "GET /HIS_API/rest/Prescription/getPrescriptionsByPatientID/000088 HTTP/1.1" 200 13559
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/0 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Afrin/10 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Afrin%20Latest/24 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Amlodipine%20Besylate%20tablet%205mg/60 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Diltiazem%20tablet%2030mg/4 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/4 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Amlodipine%20Besylate%20tablet%205mg/16 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/0 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Afrin%20Latest/0 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:06 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/20 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:07 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/0 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:07 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Pethidine%20Hydrochloride%20Injection%2075mg%20Ampoule/112 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:07 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Afrin%20Latest/60 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:07 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/112 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:07 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/28 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:07 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Acitretin%20(Soriatane)%2050mg/126 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:07 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20250mg/15 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:07 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/adasd%20200ml/18 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:07 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/%20Ampicillin%20/10 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:07 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/adasd%20200ml/6 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:07 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/adasd%20200ml/18 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:07 +0530] "GET /HIS_API/rest/PharmacyServices/checkDrug/Asprin/24 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:31:11 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/000088 HTTP/1.1" 200 22809
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:31:28 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/000088 HTTP/1.1" 200 22809
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:32:24 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/000088 HTTP/1.1" 200 22809
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:37:04 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:37:05 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4224
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:37:09 +0530] "GET /HIS_API/rest/Category/getAllCategories/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:37:09 +0530] "GET /HIS_API/rest/SubCategory/getAllSubCategories/ HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:37:09 +0530] "GET /HIS_API/rest/SpecimenType/getAllSpecimenTypes/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:37:09 +0530] "GET /HIS_API/rest/TestNames/getAllTests HTTP/1.1" 200 15717
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:37:13 +0530] "GET /HIS_API/rest/Category/getAllCategories HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:37:13 +0530] "GET /HIS_API/rest/SubCategory/getAllSubCategories HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:37:13 +0530] "GET /HIS_API/rest/TestNames/getAllTests HTTP/1.1" 200 15717
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:37:16 +0530] "GET /HIS_API/rest/LabType/getAllLabTypes HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:37:16 +0530] "GET /HIS_API/rest/LabDepartments/getAllLabDepartments HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:37:16 +0530] "GET /HIS_API/rest/Laboratories/getAllLaboratories HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:37:18 +0530] "GET /HIS_API/rest/SampleCenterType/getAllSampleCenterTypes HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:37:18 +0530] "GET /HIS_API/rest/SampleCenters/getAllSampleCenters HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:43:11 +0530] "GET /HIS_API/rest/SampleCenterType/getAllSampleCenterTypes HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:43:11 +0530] "GET /HIS_API/rest/SampleCenters/getAllSampleCenters HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:43:24 +0530] "POST /HIS_API/rest/SampleCenterType/addSampleCenterType HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:43:26 +0530] "GET /HIS_API/rest/SampleCenterType/getAllSampleCenterTypes HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:43:26 +0530] "GET /HIS_API/rest/SampleCenters/getAllSampleCenters HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:43:28 +0530] "GET /HIS_API/rest/SampleCenterType/getAllSampleCenterTypes HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:45:14 +0530] "GET /HIS_API/rest/SampleCenterType/getAllSampleCenterTypes HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:45:35 +0530] "GET /HIS_API/rest/SampleCenterType/getAllSampleCenterTypes HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:45:38 +0530] "POST /HIS_API/rest/SampleCenterType/updateSampleCenterTypes HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:45:39 +0530] "GET /HIS_API/rest/SampleCenterType/getAllSampleCenterTypes HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:45:39 +0530] "GET /HIS_API/rest/SampleCenters/getAllSampleCenters HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:45:41 +0530] "GET /HIS_API/rest/SampleCenterType/getAllSampleCenterTypes HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:45:45 +0530] "POST /HIS_API/rest/SampleCenterType/updateSampleCenterTypes HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:45:47 +0530] "GET /HIS_API/rest/SampleCenterType/getAllSampleCenterTypes HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:45:47 +0530] "GET /HIS_API/rest/SampleCenters/getAllSampleCenters HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:46:07 +0530] "GET /HIS_API/rest/SampleCenterType/getAllSampleCenterTypes HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:46:20 +0530] "POST /HIS_API/rest/SampleCenters/updateSampleCenter HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:46:21 +0530] "GET /HIS_API/rest/SampleCenterType/getAllSampleCenterTypes HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [16/Jun/2017:09:46:21 +0530] "GET /HIS_API/rest/SampleCenters/getAllSampleCenters HTTP/1.1" 200 489
